key,team_name
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6683,Leiknir Reykjavik
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
6434,Fylkir
4516,HK Kopavogs
4516,HK Kopavogs
6434,Fylkir
6434,Fylkir
4516,HK Kopavogs
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
6434,Fylkir
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
4516,HK Kopavogs
6434,Fylkir
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
6434,Fylkir
4516,HK Kopavogs
6434,Fylkir
4516,HK Kopavogs
165545,Atlético-GO
172341,Ceará
9862,Goiás
8287,Fortaleza
197815,Cuiabá
104822,Avaí
1757,América-MG
10274,Juventude
9862,Goiás
1757,América-MG
10274,Juventude
104822,Avaí
197815,Cuiabá
8287,Fortaleza
165545,Atlético-GO
172341,Ceará
1757,América-MG
10274,Juventude
197815,Cuiabá
165545,Atlético-GO
104822,Avaí
9862,Goiás
1757,América-MG
172341,Ceará
9862,Goiás
197815,Cuiabá
165545,Atlético-GO
10274,Juventude
8287,Fortaleza
104822,Avaí
1757,América-MG
172341,Ceará
165545,Atlético-GO
9862,Goiás
197815,Cuiabá
8287,Fortaleza
10274,Juventude
104822,Avaí
172341,Ceará
165545,Atlético-GO
197815,Cuiabá
1757,América-MG
104822,Avaí
10274,Juventude
8287,Fortaleza
9862,Goiás
165545,Atlético-GO
9862,Goiás
172341,Ceará
10274,Juventude
1757,América-MG
197815,Cuiabá
8287,Fortaleza
104822,Avaí
9862,Goiás
172341,Ceará
8287,Fortaleza
10274,Juventude
1757,América-MG
197815,Cuiabá
104822,Avaí
165545,Atlético-GO
8287,Fortaleza
172341,Ceará
1757,América-MG
197815,Cuiabá
104822,Avaí
172341,Ceará
165545,Atlético-GO
10274,Juventude
8287,Fortaleza
9862,Goiás
197815,Cuiabá
1757,América-MG
172341,Ceará
10274,Juventude
165545,Atlético-GO
104822,Avaí
8287,Fortaleza
9862,Goiás
10274,Juventude
